ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 4.2857828e-9, 4.2857828e-9, 4.2857828e-9, 6.6335374e-1, 4.2857828e-9, 9.4764823e-1, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 4.2857828e-9, 4.2857828e-9, 4.2857828e-9, 6.6335464e-1, 4.2857828e-9, 6.6335464e-1, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 4.0354386e-9, 4.0354386e-9, 4.0354386e-9, 6.5981853e-1, 4.0354386e-9, 6.5981853e-1, 0.0000000, 6.2036425e-2, 3.1347062e-2, 9.9000001e-1
2, 3.7669481e-9, 3.7669481e-9, 3.7669481e-9, 6.6068345e-1, 3.7669481e-9, 6.6068345e-1, 0.0000000, 7.1275353e-2, 2.5175896e-2, 9.9000001e-1
3, 3.5472159e-9, 3.5472159e-9, 3.5472159e-9, 6.6081923e-1, 3.5472159e-9, 6.6081923e-1, 0.0000000, 6.1944984e-2, 2.5528042e-2, 9.9000001e-1
4, 3.3477274e-9, 3.3477274e-9, 3.3477274e-9, 6.6085809e-1, 3.3477274e-9, 6.6085809e-1, 0.0000000, 5.9589207e-2, 2.6360430e-2, 9.9000001e-1
5, 3.1858489e-9, 3.1858489e-9, 3.1858489e-9, 6.6129088e-1, 3.1858489e-9, 6.6129088e-1, 0.0000000, 5.0811734e-2, 2.3975974e-2, 9.9000001e-1
6, 3.0754030e-9, 3.0754030e-9, 3.0754030e-9, 6.6179651e-1, 3.0754030e-9, 6.6179651e-1, 0.0000000, 3.5912652e-2, 1.9323735e-2, 9.9000001e-1
7, 3.0222493e-9, 3.0222493e-9, 3.0222493e-9, 6.6140878e-1, 3.0222493e-9, 6.6140878e-1, 0.0000000, 1.7587464e-2, 1.8895086e-2, 9.9000001e-1
8, 3.0059673e-9, 3.0059673e-9, 3.0059673e-9, 6.6040200e-1, 3.0059673e-9, 6.6040200e-1, 0.0000000, 5.4165884e-3, 2.2719836e-2, 9.9000001e-1
9, 2.9592540e-9, 2.9592540e-9, 2.9592540e-9, 6.5949780e-1, 2.9592540e-9, 6.5949780e-1, 0.0000000, 1.5785499e-2, 2.6359672e-2, 9.9000001e-1
10, 2.8984029e-9, 2.8984029e-9, 2.8984029e-9, 6.5901393e-1, 2.8984029e-9, 6.5901393e-1, 0.0000000, 2.0994700e-2, 2.7930483e-2, 9.9000001e-1
11, 2.7703033e-9, 2.7703033e-9, 2.7703033e-9, 6.6042215e-1, 2.7703033e-9, 6.6042215e-1, 0.0000000, 4.6240255e-2, 3.0297484e-2, 9.9000001e-1
12, 2.6762386e-9, 2.6762386e-9, 2.6762386e-9, 6.6047794e-1, 2.6762386e-9, 6.6047794e-1, 0.0000000, 3.5148121e-2, 3.3289760e-2, 9.9000001e-1
13, 2.5622386e-9, 2.5622386e-9, 2.5622386e-9, 6.6032594e-1, 2.5622386e-9, 6.6032594e-1, 0.0000000, 4.4492312e-2, 3.9391097e-2, 9.9000001e-1
14, 2.4396087e-9, 2.4396087e-9, 2.4396087e-9, 6.5985948e-1, 2.4396087e-9, 6.5985948e-1, 0.0000000, 5.0266217e-2, 4.4709269e-2, 9.9000001e-1
15, 2.3274860e-9, 2.3274860e-9, 2.3274860e-9, 6.5967423e-1, 2.3274860e-9, 6.5967423e-1, 0.0000000, 4.8173331e-2, 4.8347872e-2, 9.9000001e-1
16, 2.2123592e-9, 2.2123592e-9, 2.2123592e-9, 6.5910065e-1, 2.2123592e-9, 6.5910065e-1, 0.0000000, 5.2038021e-2, 5.3461917e-2, 9.9000001e-1
17, 2.1186484e-9, 2.1186484e-9, 2.1186484e-9, 6.5859169e-1, 2.1186484e-9, 6.5859169e-1, 0.0000000, 4.4231415e-2, 5.2301269e-2, 9.9000001e-1
18, 2.0959776e-9, 2.0959776e-9, 2.0959776e-9, 6.5739864e-1, 2.0959776e-9, 6.5739864e-1, 0.0000000, 1.0816315e-2, 5.0814323e-2, 9.9000001e-1
19, 2.0867161e-9, 2.0867161e-9, 2.0867161e-9, 6.5601146e-1, 2.0867161e-9, 6.5601146e-1, 0.0000000, 4.4383039e-3, 5.4381952e-2, 9.9000001e-1
20, 2.0670519e-9, 2.0670519e-9, 2.0670519e-9, 6.5564597e-1, 2.0670519e-9, 6.5564597e-1, 0.0000000, 9.5131965e-3, 5.1194236e-2, 9.9000001e-1
21, 2.0399884e-9, 2.0399884e-9, 2.0399884e-9, 6.5636343e-1, 2.0399884e-9, 6.5636343e-1, 0.0000000, 1.3266479e-2, 4.6897531e-2, 9.9000001e-1
22, 2.0066535e-9, 2.0066535e-9, 2.0066535e-9, 6.5685916e-1, 2.0066535e-9, 6.5685916e-1, 0.0000000, 1.6612181e-2, 3.9797056e-2, 9.9000001e-1
23, 1.9814805e-9, 1.9814805e-9, 1.9814805e-9, 6.5796435e-1, 1.9814805e-9, 6.5796435e-1, 0.0000000, 1.2704124e-2, 3.1670734e-2, 9.9000001e-1
24, 1.9648438e-9, 1.9648438e-9, 1.9648438e-9, 6.5836436e-1, 1.9648438e-9, 6.5836436e-1, 0.0000000, 8.4671825e-3, 2.5871897e-2, 9.9000001e-1
